,Please enter a question,Potential generic question,Generic answer number,InScope
,How can I contact Mongan?,How can I contact (faculty)?,11,yes
,Give me Mongan's phone number.,Give me (faculty)'s phone number.,11,yes
,Show me Mongan's phone number.,Show me (faculty)'s phone number.,11,yes
,What number should I call to contact Mongan?,What number should I call to contact (faculty)?,11,yes
,What number does Professor Mongan want me to call to find him?,What number does Professor (faculty) want me to call to find him?,11,yes
,What is listed for Professor Mongan's phone number?,What is listed for Professor (faculty)'s phone number?,11,yes
,What is the number to use for Professor Mongan?,What is the number to use for Professor (faculty)?,11,yes
,,,,
,What are some publications of Professor Mongan?,What are some publications of Professor (Faculty)?,12,yes
,What is the most recent paper authored by Vokolos?,What is the most recent publication authored by (Faculty)?,12,yes
,What are some publications about Mongan's research?,What are some publication  about (Faculty)'s research?,12,yes
,I want to read a paper from Vokolos.,I want to read a paper from (Faculty).,12,yes
,,What is the most recent publication authored by professor (Faculty)?,12,yes
,,What are some publication  of (Faculty)?,12,yes
,,Give me publication of (Faculty).,12,yes
,,Show me publication of (Faculty).,12,yes
,,Publications of (Faculty)?,12,yes
,,What are some papers published by (Faculty)?,12,yes
,,Give me papers published by (Faculty).,12,yes
,,Show me papers published by (Faculty).,12,yes
,,,,
,What is Rush's address?,What is (Building) address?,13,yes
,Where is Rush Building?,Where is (Building) building?,13,yes
,How do I get to Rush Building?,How do I get to (Building) Building?,13,yes
,Can you give me location of Rush Building?,Can you give me location of (Building) Building?,13,yes
,Can you tell me location of Rush Building?,Can you tell me location of (Building) Building?,13,yes
,Tell me location of Rush Building?,Tell me location of (Building) Building?,13,yes
,Where should I send package for someone in Rush Building?,Where should I send package for someone in (Building) Building?,13,yes
,I want Rush's address.,I want (Building)'s address.,13,yes
,What address should I use for Rush Building?,What address should I use for (Building) Building?,13,yes
,Give me Rush's address.,Give me (Building)'s address.,13,yes
,,,,
,,When does (Building) close on (Day)?,14,yes
,,What time does Rush close on (Day)?,14,yes
,,What's (Building)'s close time on (Day)?,14,yes
,,What time does (Building) close on (Day)?,14,yes
,,When does (Building) close?,14,yes
,,What time does Rush close?,14,yes
,,What's (Building)'s close time?,14,yes
,,What time does (Building) close?,14,yes
,,When does (Building) close (Day)?,14,yes
,,What time does Rush close (Day)?,14,yes
,,,,
,When does Rush open on Monday?,When does (Building) open on (Day)?,15,yes
,What time does Rush open on Monday?,What time does (Building) open on (Day)?,15,yes
,What's Rush's open time on Monday?,What's (Building)'s open time on (Day)?,15,yes
,When's Rush open on Monday?,What time does (Building) open on (Day)?,15,yes
,When does Rush open?,When does (Building) open?,15,yes
,What time does Rush open?,What time does (Building) open?,15,yes
,What's Rush open time?,What's (Building)'s open time?,15,yes
,When's Rush open?,What time does (Building) open?,15,yes
,When does Rush open today?,When does (Building) open (Day)?,15,yes
,What time does Rush open tomorrow?,What time does (Building) open (Day)?,15,yes
,,,,
,What is Rush's website?,What is (Building) website?,16,yes
,What is Rush's site?,What is (Building) site?,16,yes
,Where can I get more information about Rush?,Where can I get more information about (Building)?,16,yes
,Can you tell me more about Rush?,Can you tell me more about (Building)?,16,yes
,Can you give me more information about Rush?,Can you give me more information about (Building)?,16,yes
,Where is the best place to find more information about Rush?,Where is the best place to find more information about (Building)?,16,yes
,Give me link to Rush's website.,Give me link to (Building)'s website.,16,yes
,How can I go to Rush's website?,How can I go to (Building)'s website?,16,yes
,What is the address of Rush's website?,What is the address of (Building)'s website?,16,yes
,,What's (Building)'s address?,16,yes
,,,,
,What is Rush's phone number?,What is (Building)'s phone number?,17,no
,Where can I contact Rush?,Where can I contact (Building)?,17,no
,How can I contact Rush?,How can I contact (Building)?,17,no
,What number can Rush be reached at?,What number can (Building) be reached at?,17,no
,Can I talk to someone at Rush?,Can I talk to someone at (Building)?,17,no
,,,,
,Show me Rush building,Show me (Building) building,18,yes
,Can you show me a picture of Rush?,Can you show me a picture of (Building)?,18,yes
,Can I see what Rush looks like?,Can I see what (Building) looks like?,18,yes
,What does Rush building look like?,What does (Building) building look like?,18,yes
,How does Rush building look like?,How does (Building) building look like?,18,yes
,,Show me picture of (Building) building,18,yes
,,Give me picture of (Building),18,yes
,,Show me (Building),18,yes
,,Can you show me a picture of (Building) building?,18,yes
,,What does (Building) look like?,18,yes
,,How does (Building) look like?,18,yes
,,,,
,,When is (Building) available on (Day)?,19,yes
,,What time is (Building) available on (Day)?,19,yes
,,What's (Building)'s schedule on (Day)?,19,yes
,,What is (Building) schedule on (Day)?,19,yes
,,What is the schedule of (Buidling) on (Day)?,19,yes
,,When is (Building) available?,19,yes
,,What time is (Building) available?,19,yes
,,What's (Building)'s schedule?,19,yes
,,What is (Building) schedule?,19,yes
,,What is the schedule of (Buidling)?,19,yes
